                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7259,                 4.4448,                 4.9891,                 1.6951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.0229,                 2.5116,                 4.7405,                 1.2678,              3.614e-05,              3.614e-05,              3.614e-05
                      2,                 1.5362,                 3.4448,                  4.788,                 1.4644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.89201,                 2.2037,                 4.5177,                 1.0434,             7.4565e-05,             7.4565e-05,             7.4565e-05
                      3,                 1.4733,                 3.1738,                 4.6385,                 1.3625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.88971,                 2.1006,                 4.2948,                0.95549,             0.00011248,             0.00011248,             0.00011248
                      4,                 1.4735,                 3.1724,                 4.4376,                 1.3294,                0.02154,                0.21551,                0.03301,                0.02101,                0.02103,                0.21626,                0.03241,                0.02125,                0.91708,                 1.9424,                 4.1754,                0.94806,             0.00014987,             0.00014987,             0.00014987
                      5,                 1.3875,                 2.8577,                 4.2618,                 1.2127,                0.02563,                0.33653,                0.03858,                0.02818,                0.02233,                0.31905,                0.03864,                0.02199,                0.94358,                 2.1801,                 4.0546,                0.95858,             0.00018676,             0.00018676,             0.00018676
                      6,                 1.3337,                 2.7331,                 4.0492,                 1.1846,                0.02788,                  0.326,                0.05379,                0.04018,                0.02756,                0.32284,                0.05477,                0.03179,                0.91947,                 1.9794,                  3.679,                0.96432,             0.00022313,             0.00022313,             0.00022313
                      7,                 1.4106,                 2.9423,                 4.0478,                 1.2155,                0.02415,                0.35112,                0.05606,                0.04406,                0.02358,                0.34405,                0.05521,                0.03348,                0.92456,                 2.0454,                 3.5636,                0.99148,             0.00025898,             0.00025898,             0.00025898
                      8,                 1.4314,                 2.9793,                 3.9629,                 1.2472,                0.02407,                0.36097,                0.05824,                0.04503,                0.02344,                 0.3487,                0.05722,                0.03662,                0.98349,                 2.0448,                 3.5086,                 1.0337,             0.00026516,             0.00026516,             0.00026516
                      9,                 1.3916,                 2.8537,                 3.9051,                 1.2367,                0.02945,                0.41049,                0.06382,                0.04835,                0.02906,                0.40268,                0.06116,                0.03911,                0.98816,                 2.0118,                 3.4059,                 1.0504,             0.00026516,             0.00026516,             0.00026516
                     10,                 1.3324,                 2.7291,                 3.8037,                 1.1989,                 0.0394,                0.52377,                0.08439,                 0.0651,                0.03817,                0.50815,                0.08305,                0.05624,                0.95425,                 1.8197,                 3.1966,                 1.0308,             0.00026332,             0.00026332,             0.00026332
