Class Name,Area,Perimeter
11,4203,293.0538238691624
16,4070,295.7228714274745
18,3776,272.12489168102786
21,4111,297.78174593052023
21,4100,285.6396103067893
24,4191,312.3086578651014
24,4468,327.03048327204937
24,3776,312.69343417595167
24,4120,298.61017305526644
25,3690,312.99494936611666
25,4678,328.3086578651014
25,4162,326.99494936611666
27,4494,294.3380951166243
31,1679,227.25483399593904
31,2059,243.01219330881975
31,2008,238.32590180780454
32,1990,236.08326112068522
33,3013,290.99494936611666
34,3003,287.1959594928933
34,3300,285.19595949289334
35,3466,296.0243866176395
35,4037,301.9238815542512
36,4637,384.3624817342638
41,2046,244.1837661840736
41,2238,246.22539674441617
41,1699,225.59797974644667
42,3222,277.49747468305833
42,2027,238.91168824543144
43,2930,285.3380951166243
44,3989,305.58073580374355
44,3147,285.6812408671319
45,4008,306.75230867899734
45,3319,292.953318805774
45,4887,417.9482681718907
46,4870,421.3624817342637
46,4568,389.56958851545033
47,5014,311.1787155501902
47,4850,311.62236636408613
47,5676,388.71782079359116
48,4888,333.2203461105328
48,5645,386.71782079359116
