                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.423,                 2.7852,                 4.0543,                 1.5101,                 0.0807,                0.59543,                0.17035,                0.13505,                0.08052,                0.59365,                0.16987,                0.11571,                0.83424,                 1.8264,                 6.2675,                 1.1115,              4.726e-05,              4.726e-05,              4.726e-05
                      2,                 1.2052,                 2.2125,                 2.6586,                 1.3156,                 0.1663,                0.64568,                0.28406,                0.21859,                 0.1663,                0.64568,                0.28519,                0.20397,                0.85439,                 1.6147,                 9.8789,                 1.1051,             9.6818e-05,             9.6818e-05,             9.6818e-05
                      3,                 1.1642,                 2.0283,                 2.3621,                 1.2571,                0.26868,                0.69524,                0.38354,                0.31921,                0.26868,                0.69524,                0.38204,                0.28436,                0.76808,                 1.4688,                 4.8391,                 1.0271,             0.00014588,             0.00014588,             0.00014588
                      4,                  1.196,                 2.0686,                 2.1517,                 1.2496,                0.36522,                 0.6043,                0.35043,                0.28238,                0.36522,                 0.6043,                0.35039,                0.25592,                 0.8082,                 1.4467,                  4.106,                 1.0218,             0.00019445,             0.00019445,             0.00019445
                      5,                  1.237,                 2.0514,                 2.1252,                 1.2704,                0.32097,                0.68147,                0.43984,                0.32496,                0.32097,                0.68147,                0.43984,                0.31818,                 1.0454,                 1.5592,                 5.2697,                 1.1439,             0.00024252,             0.00024252,             0.00024252
                      6,                  1.286,                 2.1688,                 2.2355,                 1.3097,                0.23862,                0.82552,                0.44727,                0.32651,                0.23862,                0.82552,                0.44727,                0.30163,                0.96981,                 1.5229,                 4.2381,                 1.1149,             0.00027112,             0.00027112,             0.00027112
                      7,                 1.2493,                 2.1384,                 2.3134,                 1.2559,                0.21063,                0.71372,                0.38931,                0.30617,                0.21063,                0.71372,                0.38931,                0.28798,                0.90903,                  1.256,                  4.451,                 1.0833,             0.00026974,             0.00026974,             0.00026974
                      8,                 1.1739,                 2.0694,                 2.2364,                 1.2295,                 0.1747,                0.78968,                0.37192,                0.29189,                0.17408,                0.78447,                0.36749,                0.26428,                0.84911,                 1.4906,                  4.636,                  1.074,             0.00026837,             0.00026837,             0.00026837
                      9,                 1.1595,                 2.0854,                 2.1824,                 1.2551,                0.34364,                0.66499,                0.46253,                0.36459,                0.34364,                0.66499,                0.46582,                0.36218,                0.86409,                  1.427,                  3.819,                 1.0778,             0.00026699,             0.00026699,             0.00026699
                     10,                  1.171,                 2.0336,                 1.9951,                 1.2307,                 0.2347,                0.74398,                0.44031,                0.35908,                 0.2347,                0.74398,                0.44031,                0.34077,                0.82074,                 1.4378,                 3.3084,                  1.055,             0.00026562,             0.00026562,             0.00026562
                     11,                 1.2018,                 2.0597,                 1.9586,                 1.2109,                0.25159,                0.81774,                0.47965,                0.37667,                0.25159,                0.81774,                0.48082,                0.36738,                0.86335,                 1.3464,                 2.4013,                 1.0727,             0.00026424,             0.00026424,             0.00026424
                     12,                 1.1249,                 1.9492,                 1.9036,                 1.2081,                0.27474,                0.76563,                0.50268,                0.39805,                0.27471,                0.76327,                0.50185,                0.39964,                 0.8663,                  1.355,                 2.1415,                 1.0676,             0.00026286,             0.00026286,             0.00026286
                     13,                 1.1039,                 1.8802,                 1.8594,                 1.1804,                0.36869,                0.77538,                0.50743,                0.41367,                0.36869,                0.77538,                0.50743,                0.39648,                 0.7917,                 1.2665,                 2.1885,                 1.0562,             0.00026149,             0.00026149,             0.00026149
                     14,                 1.1242,                 1.9293,                 1.7961,                 1.1343,                0.35589,                0.72183,                0.50834,                0.39828,                0.35589,                0.72183,                0.50834,                0.39367,                0.84309,                 1.2463,                 1.8065,                 1.0519,             0.00026011,             0.00026011,             0.00026011
                     15,                 1.1144,                 1.8412,                  1.764,                 1.1299,                0.34762,                0.75059,                0.52763,                0.42805,                0.34762,                0.75059,                0.52763,                0.41821,                0.76101,                 1.2288,                 1.8403,                 1.0207,             0.00025873,             0.00025873,             0.00025873
                     16,                 1.1531,                 1.9017,                 1.7018,                 1.1669,                0.37252,                0.72929,                0.53873,                0.41948,                0.37252,                0.72929,                0.53873,                0.41829,                0.95351,                 1.3415,                 1.6926,                   1.13,             0.00025736,             0.00025736,             0.00025736
                     17,                 1.1143,                 1.8598,                 1.6678,                 1.1783,                0.35865,                 0.7745,                0.54404,                0.43286,                0.35865,                 0.7745,                0.54404,                0.43701,                0.84456,                 1.3045,                  1.559,                 1.0527,             0.00025598,             0.00025598,             0.00025598
                     18,                 1.1003,                 1.8779,                 1.5557,                 1.1479,                0.29813,                0.78559,                0.56175,                0.46055,                0.29813,                0.78559,                0.56159,                0.44553,                0.79821,                 1.2316,                 1.5722,                 1.0505,             0.00025461,             0.00025461,             0.00025461
                     19,                 1.1044,                 1.8496,                 1.5838,                 1.1443,                0.38931,                0.78571,                0.59487,                0.49408,                0.38931,                0.78571,                0.59532,                0.47538,                0.75415,                 1.1672,                 1.5026,                 1.0271,             0.00025323,             0.00025323,             0.00025323
                     20,                 1.0575,                 1.7997,                 1.5403,                 1.1231,                0.40425,                0.78098,                 0.5976,                 0.4692,                0.40425,                0.78098,                 0.5976,                0.45584,                0.89056,                 1.2894,                 1.4388,                 1.0872,             0.00025185,             0.00025185,             0.00025185
                     21,                  1.077,                 1.7507,                 1.5105,                  1.116,                0.39326,                0.83736,                0.60669,                0.48327,                0.39326,                0.83736,                 0.6063,                0.48201,                0.86983,                 1.2511,                 1.4398,                 1.0423,             0.00025048,             0.00025048,             0.00025048
                     22,                 1.1782,                 1.9235,                 1.5907,                 1.1741,                0.39827,                0.80134,                0.60431,                0.46988,                0.39827,                0.80134,                0.60431,                 0.4621,                0.91578,                 1.3846,                  1.534,                 1.0962,              0.0002491,              0.0002491,              0.0002491
                     23,                 1.1531,                 1.8577,                 1.5319,                 1.1585,                0.41404,                0.84746,                  0.629,                0.50796,                0.41023,                0.84303,                0.62326,                 0.4802,                 0.8261,                 1.3851,                 1.4089,                 1.0513,             0.00024773,             0.00024773,             0.00024773
                     24,                 1.0775,                  1.793,                 1.4992,                 1.1208,                0.40829,                0.86865,                0.63797,                0.48952,                0.40829,                0.86865,                0.63797,                0.50232,                0.88545,                 1.2849,                 1.3486,                 1.0542,             0.00024635,             0.00024635,             0.00024635
                     25,                 1.0638,                 1.7545,                 1.4728,                  1.104,                0.38866,                0.88215,                0.61777,                0.48853,                0.38866,                0.88215,                0.61777,                0.49563,                0.83102,                 1.1147,                  1.355,                 1.0548,             0.00024497,             0.00024497,             0.00024497
                     26,                 1.0701,                 1.7511,                 1.3999,                 1.1277,                0.38744,                0.80834,                 0.5774,                0.46484,                0.38744,                0.80834,                 0.5774,                0.45711,                 0.8401,                 1.1549,                 1.4113,                 1.0485,              0.0002436,              0.0002436,              0.0002436
                     27,                 1.0967,                 1.7305,                 1.4174,                   1.13,                0.42082,                0.79151,                0.62287,                0.50007,                0.42082,                0.79151,                0.62287,                0.49345,                 0.8794,                 1.2158,                 1.3711,                 1.0701,             0.00024222,             0.00024222,             0.00024222
                     28,                 1.0349,                 1.7322,                 1.3921,                 1.0831,                0.43049,                0.80783,                0.64094,                0.51435,                0.43049,                0.80783,                0.64094,                0.50339,                 0.8283,                 1.1921,                 1.3024,                 1.0436,             0.00024085,             0.00024085,             0.00024085
                     29,                 1.0054,                 1.7026,                 1.3411,                 1.0679,                0.41938,                0.81207,                0.61377,                0.50053,                0.41938,                0.81207,                0.61377,                0.47915,                0.79111,                 1.2375,                 1.4064,                 1.0339,             0.00023947,             0.00023947,             0.00023947
                     30,                0.99472,                 1.6348,                 1.3134,                 1.0659,                0.47506,                0.81528,                0.65054,                 0.5397,                0.47506,                0.81528,                0.65054,                0.52297,                0.76488,                 1.1555,                 1.3157,                 1.0208,             0.00023809,             0.00023809,             0.00023809
                     31,                0.99083,                 1.6544,                 1.2969,                 1.0813,                0.44682,                0.88012,                 0.6765,                0.55278,                0.44682,                0.88012,                 0.6765,                0.54509,                0.81847,                 1.1591,                 1.2217,                 1.0284,             0.00023672,             0.00023672,             0.00023672
                     32,                0.98849,                 1.6633,                 1.3087,                 1.0586,                0.52178,                 0.7818,                0.67826,                 0.5499,                0.52178,                 0.7818,                0.67826,                  0.543,                0.82659,                 1.1295,                 1.2112,                 1.0508,             0.00023534,             0.00023534,             0.00023534
                     33,                0.99385,                 1.6459,                 1.3021,                 1.0686,                0.46868,                0.81349,                0.67783,                0.55376,                0.46868,                0.81349,                0.67783,                 0.5303,                0.82096,                 1.1404,                 1.2049,                  1.046,             0.00023396,             0.00023396,             0.00023396
                     34,                0.92937,                 1.5426,                 1.2999,                 1.0293,                0.43631,                0.85636,                0.62446,                0.50752,                0.43631,                0.85636,                0.62446,                 0.4933,                0.79028,                 1.0821,                 1.2783,                 1.0255,             0.00023259,             0.00023259,             0.00023259
                     35,                 1.8513,                 5.4364,                 3.6995,                 1.8763,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0743,                 1776.3,             1.6452e+05,                 56.367,             0.00023121,             0.00023121,             0.00023121
                     36,                 1.6829,                 3.3693,                 3.3284,                 1.6816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.609,                 99.762,                 6182.7,                 7.4806,             0.00022984,             0.00022984,             0.00022984
